EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	14:08:18	0	0.1000	10.394021881037744	4.9217681884765625	0.7022	0.4289	0.5325
2	14:08:44	0	0.1000	5.279926480918095	3.6747899055480957	0.7528	0.5752	0.6521
3	14:09:09	0	0.1000	4.551793684219492	3.19761323928833	0.6904	0.7103	0.7002
4	14:09:34	0	0.1000	3.989319624571965	2.899299383163452	0.7949	0.6819	0.7341
5	14:10:01	1	0.1000	3.6906426918917687	3.0262112617492676	0.7581	0.6767	0.7151
6	14:10:24	2	0.1000	3.5383652839167365	2.8505349159240723	0.7490	0.7014	0.7245
7	14:10:47	0	0.1000	3.189581029374024	2.7588467597961426	0.7111	0.7743	0.7414
8	14:11:13	1	0.1000	3.095823592153089	3.184705972671509	0.8098	0.5577	0.6605
9	14:11:36	0	0.1000	2.9897931392850547	2.5321803092956543	0.7295	0.8005	0.7633
10	14:12:02	0	0.1000	2.844995075258715	2.270646572113037	0.8358	0.7413	0.7857
11	14:12:28	1	0.1000	2.7402664741565443	2.4611129760742188	0.7238	0.8096	0.7643
12	14:12:51	0	0.1000	2.6159053650395623	2.284968614578247	0.7826	0.8079	0.7950
13	14:13:18	1	0.1000	2.5434902608394623	2.5495808124542236	0.7016	0.8355	0.7627
14	14:13:41	2	0.1000	2.3975541879390847	2.46026611328125	0.8646	0.6646	0.7515
15	14:14:05	0	0.1000	2.382713140084826	2.0519683361053467	0.7959	0.8017	0.7988
16	14:14:32	0	0.1000	2.2839556243912926	2.2689263820648193	0.7643	0.8477	0.8039
17	14:14:58	0	0.1000	2.2415126356585273	1.912134051322937	0.8099	0.8263	0.8180
18	14:15:25	1	0.1000	2.116258772282765	2.0085673332214355	0.8359	0.7966	0.8158
19	14:15:48	0	0.1000	2.096612220180446	1.8146777153015137	0.8325	0.8165	0.8245
20	14:16:15	0	0.1000	2.0478733325826712	1.881068468093872	0.8331	0.8311	0.8321
21	14:16:41	1	0.1000	1.9942717223331845	1.8833074569702148	0.8344	0.8063	0.8201
22	14:17:05	0	0.1000	1.965339115981398	1.8252979516983032	0.8570	0.8127	0.8343
23	14:17:31	0	0.1000	1.8868089020252228	1.75999116897583	0.8532	0.8450	0.8490
24	14:17:56	1	0.1000	1.802172719404615	1.8156486749649048	0.8735	0.7969	0.8334
25	14:18:20	2	0.1000	1.7919888393632297	1.7825751304626465	0.8239	0.8595	0.8414
26	14:18:44	0	0.1000	1.7139893934644501	1.812090516090393	0.8634	0.8353	0.8491
27	14:19:11	0	0.1000	1.712477899830917	1.6899644136428833	0.8368	0.8690	0.8526
28	14:19:37	1	0.1000	1.653841228320681	1.7066994905471802	0.8575	0.8441	0.8508
29	14:20:01	0	0.1000	1.6173288976324016	1.681843876838684	0.9077	0.8289	0.8665
30	14:20:27	1	0.1000	1.6111679154223408	1.633858323097229	0.8413	0.8645	0.8527
31	14:20:50	2	0.1000	1.533333164864573	1.8384655714035034	0.8119	0.8645	0.8374
32	14:21:14	3	0.1000	1.5351948604501526	1.6806169748306274	0.8568	0.8486	0.8527
33	14:21:38	4	0.1000	1.506296729219371	1.664115071296692	0.8417	0.8872	0.8638
34	14:22:02	1	0.0500	1.3272689118467529	1.7095861434936523	0.8385	0.8788	0.8581
35	14:22:25	0	0.0500	1.2784407524199322	1.5560128688812256	0.8715	0.8715	0.8715
36	14:22:51	0	0.0500	1.197900034230331	1.5321969985961914	0.8836	0.8762	0.8799
37	14:23:18	1	0.0500	1.1505307557767834	1.5710283517837524	0.8826	0.8647	0.8736
38	14:23:43	2	0.0500	1.154943404526546	1.6229901313781738	0.8656	0.8812	0.8733
39	14:24:07	3	0.0500	1.1488230418542336	1.5653854608535767	0.8528	0.8836	0.8679
