EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	00:06:05	0	0.1000	2.654685554297074	1.1738853454589844	0.8133	0.7518	0.7813
2	00:06:31	0	0.1000	1.9199671982855038	1.0122885704040527	0.7872	0.8075	0.7972
3	00:06:57	1	0.1000	1.5853809891403585	0.9645789861679077	0.8588	0.6969	0.7694
4	00:07:21	0	0.1000	1.443314537190009	0.9226081371307373	0.7656	0.8416	0.8018
5	00:07:47	1	0.1000	1.3204314687113832	1.0740042924880981	0.7132	0.8797	0.7878
6	00:08:11	2	0.1000	1.2511505346367324	0.9641993641853333	0.7418	0.8071	0.7731
7	00:08:35	0	0.1000	1.2175922061222186	0.7222510576248169	0.8434	0.8274	0.8353
8	00:09:01	0	0.1000	1.171528429656789	0.8274121284484863	0.8625	0.8156	0.8384
9	00:09:28	1	0.1000	1.0793214924093606	0.956867516040802	0.9088	0.7102	0.7973
10	00:09:52	0	0.1000	1.023267064837442	0.8033807277679443	0.8672	0.8238	0.8449
11	00:10:18	0	0.1000	1.0004533838102783	0.7330448031425476	0.8824	0.8175	0.8487
12	00:10:44	1	0.1000	0.9382756995982018	0.86101895570755	0.9142	0.7340	0.8142
13	00:11:08	0	0.1000	0.9087770596362542	0.6934489011764526	0.8772	0.8294	0.8526
14	00:11:33	1	0.1000	0.9243506458790406	0.7762356996536255	0.8865	0.7810	0.8304
15	00:11:57	0	0.1000	0.8652543006599813	0.6483538150787354	0.8612	0.8491	0.8551
16	00:12:23	0	0.1000	0.801111665756806	0.7620874643325806	0.8778	0.8341	0.8554
17	00:12:49	1	0.1000	0.7918345155059427	0.6707647442817688	0.8341	0.8538	0.8438
18	00:13:13	2	0.1000	0.7741957885631616	0.8386008739471436	0.7748	0.8298	0.8014
19	00:13:37	3	0.1000	0.7503826540449391	0.7436337471008301	0.7935	0.8682	0.8292
20	00:14:00	4	0.1000	0.744972428549891	0.939872682094574	0.9059	0.7316	0.8095
21	00:14:24	0	0.0500	0.6264573260061983	0.5824958682060242	0.8642	0.8723	0.8682
22	00:14:50	0	0.0500	0.5787173449129298	0.6132092475891113	0.8883	0.8652	0.8766
23	00:15:16	1	0.0500	0.5757605131121649	0.6215121150016785	0.8397	0.8753	0.8571
24	00:15:40	2	0.0500	0.5690916055354519	0.6385171413421631	0.8595	0.8635	0.8615
25	00:16:04	3	0.0500	0.5455299505720967	0.6697635650634766	0.8375	0.8652	0.8512
26	00:16:27	4	0.0500	0.5461687597891559	0.6014053225517273	0.8735	0.8776	0.8756
27	00:16:51	1	0.0250	0.5345332963743071	0.6210013031959534	0.8645	0.8726	0.8685
28	00:17:15	2	0.0250	0.507830626938654	0.6159452199935913	0.8525	0.8626	0.8575
29	00:17:39	3	0.0250	0.49754979461431503	0.5937567353248596	0.8700	0.8720	0.8710
30	00:18:02	0	0.0250	0.47463196726596873	0.5881069302558899	0.8771	0.8771	0.8771
31	00:18:28	0	0.0250	0.4776666600635086	0.5745264887809753	0.8889	0.8720	0.8804
32	00:18:54	1	0.0250	0.4603876359220864	0.6088261008262634	0.8960	0.8599	0.8776
33	00:19:18	2	0.0250	0.44658058449841925	0.5962913632392883	0.8741	0.8720	0.8731
34	00:19:42	3	0.0250	0.467576971952466	0.626224935054779	0.8842	0.8527	0.8682
35	00:20:06	4	0.0250	0.45422892250876495	0.5830041170120239	0.8791	0.8771	0.8781
36	00:20:30	1	0.0125	0.44902263840903406	0.59792160987854	0.8798	0.8673	0.8735
37	00:20:53	2	0.0125	0.43567830518535944	0.6038411855697632	0.8720	0.8720	0.8720
38	00:21:17	0	0.0125	0.43548166600690374	0.6103661060333252	0.8852	0.8768	0.8810
39	00:21:43	1	0.0125	0.4218191252886385	0.5944963693618774	0.8689	0.8791	0.8740
40	00:22:07	2	0.0125	0.4258204402698987	0.6049495935440063	0.8723	0.8744	0.8734
41	00:22:31	3	0.0125	0.41733224452405737	0.59128737449646	0.8831	0.8768	0.8799
42	00:22:55	4	0.0125	0.4156440708084383	0.5982606410980225	0.8642	0.8744	0.8693
43	00:23:19	1	0.0063	0.429661068579425	0.5997089743614197	0.8789	0.8768	0.8778
44	00:23:43	2	0.0063	0.39786351385755814	0.596984326839447	0.8712	0.8815	0.8763
45	00:24:07	3	0.0063	0.40590273092190426	0.5923774242401123	0.8810	0.8768	0.8789
46	00:24:31	4	0.0063	0.3921215944532035	0.5935443043708801	0.8735	0.8818	0.8776
47	00:24:55	1	0.0031	0.42032150837822235	0.5950145721435547	0.8712	0.8815	0.8763
48	00:25:19	0	0.0031	0.4137524255699869	0.5901157855987549	0.8833	0.8791	0.8812
49	00:25:45	1	0.0031	0.4038102000519849	0.5899683237075806	0.8771	0.8791	0.8781
50	00:26:09	2	0.0031	0.40154644004676654	0.5967416763305664	0.8776	0.8839	0.8808
51	00:26:33	3	0.0031	0.41203393452409387	0.5964660048484802	0.8671	0.8815	0.8743
52	00:26:57	4	0.0031	0.4130151621673418	0.5965862274169922	0.8776	0.8839	0.8808
53	00:27:21	1	0.0016	0.4140297332103702	0.596021294593811	0.8812	0.8791	0.8802
54	00:27:45	2	0.0016	0.4149403876584509	0.5982672572135925	0.8729	0.8791	0.8760
55	00:28:09	3	0.0016	0.38852099091678427	0.599227786064148	0.8812	0.8791	0.8802
56	00:28:33	4	0.0016	0.40713284305040387	0.6017608046531677	0.8768	0.8768	0.8768
57	00:28:57	1	0.0008	0.42030844005985535	0.6016768217086792	0.8726	0.8768	0.8747
