EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	14:55:39	0	0.1000	13.047543214271105	6.933320999145508	0.6386	0.4443	0.5240
2	14:57:35	0	0.1000	6.712091051791925	5.003325939178467	0.7187	0.5464	0.6208
3	14:59:29	0	0.1000	5.588403405673499	4.305807590484619	0.7018	0.6330	0.6656
4	15:01:25	0	0.1000	4.996051822025209	4.176993370056152	0.6603	0.6986	0.6789
5	15:03:19	0	0.1000	4.603757849086786	3.7785840034484863	0.7014	0.6974	0.6994
6	15:05:13	0	0.1000	4.339044562754335	3.595245838165283	0.7343	0.6683	0.6998
7	15:07:07	0	0.1000	4.145316841260269	3.4449925422668457	0.7598	0.6697	0.7119
8	15:09:03	0	0.1000	3.9691250089404413	3.63152813911438	0.6848	0.7572	0.7192
9	15:10:57	1	0.1000	3.8376797011373385	3.7702174186706543	0.6673	0.7612	0.7112
10	15:12:49	0	0.1000	3.719462018452058	3.2276477813720703	0.7955	0.6725	0.7289
11	15:14:42	0	0.1000	3.606849838885812	3.0832231044769287	0.7749	0.7006	0.7359
12	15:16:39	0	0.1000	3.538671448603432	3.1254074573516846	0.7416	0.7562	0.7488
13	15:18:33	1	0.1000	3.4449891811775193	3.0582995414733887	0.7501	0.7461	0.7481
14	15:20:24	2	0.1000	3.369288730927657	3.1735730171203613	0.7512	0.7304	0.7406
15	15:22:16	0	0.1000	3.2943372185276205	2.931087017059326	0.7945	0.7287	0.7602
16	15:24:12	0	0.1000	3.2365745081380806	2.852487802505493	0.7749	0.7506	0.7626
17	15:26:07	0	0.1000	3.1803367819469543	2.937025308609009	0.7505	0.7819	0.7658
18	15:28:01	1	0.1000	3.144276249842674	2.902949333190918	0.7592	0.7723	0.7657
19	15:29:53	2	0.1000	3.108309063972702	2.9115548133850098	0.7642	0.7513	0.7577
20	15:31:46	0	0.1000	3.045514816135104	2.8074910640716553	0.7664	0.7846	0.7754
21	15:33:40	1	0.1000	3.000421564124636	2.7771384716033936	0.7831	0.7431	0.7626
22	15:35:32	2	0.1000	2.962738582868392	2.772179126739502	0.7822	0.7504	0.7660
