EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	17:18:54	0	0.1000	12.561062284226113	5.948022365570068	0.6069	0.6322	0.6193
2	17:20:20	0	0.1000	6.343813441662078	4.537435054779053	0.7068	0.6641	0.6847
3	17:21:47	0	0.1000	5.252940669972846	3.88254714012146	0.7401	0.6735	0.7052
4	17:23:14	0	0.1000	4.715051729374744	3.625023365020752	0.7224	0.7109	0.7166
5	17:24:41	0	0.1000	4.352498295205705	3.486846446990967	0.7582	0.7019	0.7290
6	17:26:08	0	0.1000	4.151970430130654	3.27170729637146	0.7707	0.7124	0.7404
7	17:27:35	1	0.1000	3.941265194974047	4.149754047393799	0.8328	0.5252	0.6441
8	17:28:59	0	0.1000	3.7893875051052013	3.0614256858825684	0.7814	0.7638	0.7725
9	17:30:28	1	0.1000	3.6392788770351006	3.144127368927002	0.7405	0.7604	0.7503
10	17:31:52	2	0.1000	3.5611432770465283	2.982297658920288	0.8057	0.7274	0.7645
11	17:33:17	3	0.1000	3.4491884358385776	3.452950954437256	0.7059	0.7957	0.7481
12	17:34:41	4	0.1000	3.367170421113359	3.085702657699585	0.7330	0.7979	0.7641
13	17:36:06	0	0.0500	3.1383430927357776	2.775064706802368	0.7821	0.7914	0.7867
14	17:37:33	1	0.0500	3.0650836452524715	2.7261977195739746	0.8066	0.7563	0.7806
15	17:38:59	0	0.0500	3.0247613998169594	2.725109577178955	0.7862	0.7925	0.7893
16	17:40:26	1	0.0500	2.972422357315713	2.6968586444854736	0.7999	0.7707	0.7850
17	17:41:51	0	0.0500	2.953307888355661	2.6377577781677246	0.7946	0.7907	0.7926
18	17:43:18	0	0.0500	2.90039178361284	2.6553468704223633	0.7889	0.7979	0.7934
19	17:44:45	0	0.0500	2.8702019681321813	2.6108717918395996	0.7968	0.7950	0.7959
20	17:46:14	1	0.0500	2.8535141265138666	2.6509883403778076	0.7836	0.8032	0.7933
21	17:47:39	2	0.0500	2.8380823277412577	2.629807949066162	0.7818	0.8038	0.7927
22	17:49:04	0	0.0500	2.788981141435339	2.6258456707000732	0.7836	0.8114	0.7973
23	17:50:31	1	0.0500	2.754726051016057	2.7195184230804443	0.7779	0.8096	0.7934
24	17:51:57	2	0.0500	2.7254156929381352	2.5959675312042236	0.7901	0.8026	0.7963
25	17:53:23	0	0.0500	2.704520380243342	2.5716781616210938	0.7933	0.8106	0.8019
26	17:54:51	1	0.0500	2.6967047156171597	2.6305129528045654	0.7791	0.8209	0.7995
27	17:56:16	0	0.0500	2.637771026631619	2.542656660079956	0.8038	0.8015	0.8026
28	17:57:43	0	0.0500	2.627628046147367	2.5134456157684326	0.8167	0.7898	0.8030
29	17:59:10	0	0.0500	2.6035487829370703	2.5253727436065674	0.8052	0.8122	0.8087
30	18:00:38	1	0.0500	2.594157158060277	2.561123847961426	0.8096	0.7983	0.8039
31	18:02:03	2	0.0500	2.5778014089198824	2.556955575942993	0.7929	0.8079	0.8003
32	18:03:28	0	0.0500	2.548328868378984	2.5619218349456787	0.7971	0.8217	0.8092
33	18:04:55	1	0.0500	2.5440786975495358	2.536607503890991	0.7974	0.8129	0.8051
34	18:06:20	2	0.0500	2.5038978198741346	2.540926456451416	0.8058	0.7986	0.8022
35	18:07:46	3	0.0500	2.4808642516744897	2.523602247238159	0.7957	0.8177	0.8066
36	18:09:12	4	0.0500	2.46085998885175	2.5717482566833496	0.7870	0.8266	0.8063
37	18:10:38	0	0.0250	2.3878031066123477	2.4474730491638184	0.8078	0.8139	0.8108
38	18:12:05	1	0.0250	2.3297017249655214	2.580953598022461	0.7909	0.8267	0.8084
39	18:13:30	2	0.0250	2.3228545159735576	2.5153422355651855	0.7938	0.8268	0.8100
40	18:14:56	3	0.0250	2.309716099120201	2.5548934936523438	0.7911	0.8280	0.8092
41	18:16:21	0	0.0250	2.2733160084866464	2.4754631519317627	0.8042	0.8224	0.8132
